Year,Date ,Hour,DataRecorded,DataReviewed,Observer,Time,Frame,Direction,Range,Length,Confidence,Comments,BC comments QAQC
2023,2/2/2023,16:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,16:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,17:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,17:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,18:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,18:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,19:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,19:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,20:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,20:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,21:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,21:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,22:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,22:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,23:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/2/2023,23:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,0:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,0:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,1:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,1:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,2:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,2:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,3:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,3:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,4:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,4:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,5:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,5:30,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
2023,2/3/2023,6:00,Poor Image,No Data,AS,,,,,,,"Recording begins here, but image is poor, sonar has issues",
